,클러스터,PER_기준,투자기간,결과
0,0,0.5,10,-0.2273611378775734
1,0,0.6000000000000001,10,-0.2273611378775734
2,0,0.7000000000000001,10,-0.2273611378775734
3,0,0.8,10,-0.2273611378775734
4,0,0.9,10,-0.2273611378775734
5,0,1.0,10,-0.2273611378775734
6,0,1.1,10,-0.2305690759630344
7,0,1.2000000000000002,10,-0.2305690759630344
8,0,1.3,10,-0.2305690759630344
9,0,1.4000000000000001,10,-0.2305690759630344
10,0,1.5,10,-0.2305690759630344
11,0,1.6,10,-0.2305690759630344
12,0,1.7000000000000002,10,-0.2305690759630344
13,0,1.8,10,-0.2305690759630344
14,0,1.9000000000000001,10,-0.2305690759630344
15,0,0.5,40,-0.22911175474346562
16,0,0.6000000000000001,40,-0.22911175474346562
17,0,0.7000000000000001,40,-0.22911175474346562
18,0,0.8,40,-0.22911175474346562
19,0,0.9,40,-0.22911175474346562
20,0,1.0,40,-0.22911175474346562
21,0,1.1,40,-0.2326917206724899
22,0,1.2000000000000002,40,-0.2326917206724899
23,0,1.3,40,-0.2326917206724899
24,0,1.4000000000000001,40,-0.2326917206724899
25,0,1.5,40,-0.2326917206724899
26,0,1.6,40,-0.2326917206724899
27,0,1.7000000000000002,40,-0.2326917206724899
28,0,1.8,40,-0.2326917206724899
29,0,1.9000000000000001,40,-0.2326917206724899
30,0,0.5,70,-0.23538974561887605
31,0,0.6000000000000001,70,-0.23538974561887605
32,0,0.7000000000000001,70,-0.23538974561887605
33,0,0.8,70,-0.23538974561887605
34,0,0.9,70,-0.23538974561887605
35,0,1.0,70,-0.23538974561887605
36,0,1.1,70,-0.2388214931747641
37,0,1.2000000000000002,70,-0.2388214931747641
38,0,1.3,70,-0.2388214931747641
39,0,1.4000000000000001,70,-0.2388214931747641
40,0,1.5,70,-0.2388214931747641
41,0,1.6,70,-0.2388214931747641
42,0,1.7000000000000002,70,-0.2388214931747641
43,0,1.8,70,-0.2388214931747641
44,0,1.9000000000000001,70,-0.2388214931747641
45,0,0.5,100,-0.23333462040005856
46,0,0.6000000000000001,100,-0.23333462040005856
47,0,0.7000000000000001,100,-0.23333462040005856
48,0,0.8,100,-0.23333462040005856
49,0,0.9,100,-0.23333462040005856
50,0,1.0,100,-0.23333462040005856
51,0,1.1,100,-0.2349968994035338
52,0,1.2000000000000002,100,-0.2349968994035338
53,0,1.3,100,-0.2349968994035338
54,0,1.4000000000000001,100,-0.2349968994035338
55,0,1.5,100,-0.2349968994035338
56,0,1.6,100,-0.2349968994035338
57,0,1.7000000000000002,100,-0.2349968994035338
58,0,1.8,100,-0.2349968994035338
59,0,1.9000000000000001,100,-0.2349968994035338
60,0,0.5,130,-0.23315293321764197
61,0,0.6000000000000001,130,-0.23315293321764197
62,0,0.7000000000000001,130,-0.23315293321764197
63,0,0.8,130,-0.23315293321764197
64,0,0.9,130,-0.23315293321764197
65,0,1.0,130,-0.23315293321764197
66,0,1.1,130,-0.23623775834071292
67,0,1.2000000000000002,130,-0.23623775834071292
68,0,1.3,130,-0.23623775834071292
69,0,1.4000000000000001,130,-0.23623775834071292
70,0,1.5,130,-0.23623775834071292
71,0,1.6,130,-0.23623775834071292
72,0,1.7000000000000002,130,-0.23623775834071292
73,0,1.8,130,-0.23623775834071292
74,0,1.9000000000000001,130,-0.23623775834071292
75,0,0.5,160,-0.2569906790945406
76,0,0.6000000000000001,160,-0.2569906790945406
77,0,0.7000000000000001,160,-0.2569906790945406
78,0,0.8,160,-0.2569906790945406
79,0,0.9,160,-0.2569906790945406
80,0,1.0,160,-0.2569906790945406
81,0,1.1,160,-0.262003302085411
82,0,1.2000000000000002,160,-0.262003302085411
83,0,1.3,160,-0.262003302085411
84,0,1.4000000000000001,160,-0.262003302085411
85,0,1.5,160,-0.262003302085411
86,0,1.6,160,-0.262003302085411
87,0,1.7000000000000002,160,-0.262003302085411
88,0,1.8,160,-0.262003302085411
89,0,1.9000000000000001,160,-0.262003302085411
90,0,0.5,190,-0.2173797342136834
91,0,0.6000000000000001,190,-0.2173797342136834
92,0,0.7000000000000001,190,-0.2173797342136834
93,0,0.8,190,-0.2173797342136834
94,0,0.9,190,-0.2173797342136834
95,0,1.0,190,-0.2173797342136834
96,0,1.1,190,-0.21972849321418964
97,0,1.2000000000000002,190,-0.21972849321418964
98,0,1.3,190,-0.21972849321418964
99,0,1.4000000000000001,190,-0.21972849321418964
100,0,1.5,190,-0.21972849321418964
101,0,1.6,190,-0.21972849321418964
102,0,1.7000000000000002,190,-0.21972849321418964
103,0,1.8,190,-0.21972849321418964
104,0,1.9000000000000001,190,-0.21972849321418964
105,0,0.5,220,-0.2687074829931973
106,0,0.6000000000000001,220,-0.2687074829931973
107,0,0.7000000000000001,220,-0.2687074829931973
108,0,0.8,220,-0.2687074829931973
109,0,0.9,220,-0.2687074829931973
110,0,1.0,220,-0.2687074829931973
111,0,1.1,220,-0.28158212925457954
112,0,1.2000000000000002,220,-0.28158212925457954
113,0,1.3,220,-0.28158212925457954
114,0,1.4000000000000001,220,-0.28158212925457954
115,0,1.5,220,-0.28158212925457954
116,0,1.6,220,-0.28158212925457954
117,0,1.7000000000000002,220,-0.28158212925457954
118,0,1.8,220,-0.28158212925457954
119,0,1.9000000000000001,220,-0.28158212925457954
120,0,0.5,250,-0.2481586592701276
121,0,0.6000000000000001,250,-0.2481586592701276
122,0,0.7000000000000001,250,-0.2481586592701276
123,0,0.8,250,-0.2481586592701276
124,0,0.9,250,-0.2481586592701276
125,0,1.0,250,-0.2481586592701276
