,클러스터,PBR_기준,투자기간,결과
0,0,5,10,-0.10863306407024029
1,0,6,10,-0.10863306407024029
2,0,7,10,-0.10863306407024029
3,0,8,10,-0.10863306407024029
4,0,9,10,-0.10863306407024029
5,0,10,10,-0.10863306407024029
6,0,11,10,-0.14588439571237602
7,0,12,10,-0.14588439571237602
8,0,13,10,-0.14588439571237602
9,0,14,10,-0.14588439571237602
10,0,15,10,-0.14588439571237602
11,0,16,10,-0.14588439571237602
12,0,17,10,-0.14588439571237602
13,0,18,10,-0.14588439571237602
14,0,19,10,-0.14588439571237602
15,0,5,40,-0.10698791570257035
16,0,6,40,-0.10698791570257035
17,0,7,40,-0.10698791570257035
18,0,8,40,-0.10698791570257035
19,0,9,40,-0.10698791570257035
20,0,10,40,-0.10698791570257035
21,0,11,40,-0.14496376811594203
22,0,12,40,-0.14496376811594203
23,0,13,40,-0.14496376811594203
24,0,14,40,-0.14496376811594203
25,0,15,40,-0.14496376811594203
26,0,16,40,-0.14496376811594203
27,0,17,40,-0.14496376811594203
28,0,18,40,-0.14496376811594203
29,0,19,40,-0.14496376811594203
30,0,5,70,-0.113820639697045
31,0,6,70,-0.113820639697045
32,0,7,70,-0.113820639697045
33,0,8,70,-0.113820639697045
34,0,9,70,-0.113820639697045
35,0,10,70,-0.113820639697045
36,0,11,70,-0.1483062129321289
37,0,12,70,-0.1483062129321289
38,0,13,70,-0.1483062129321289
39,0,14,70,-0.1483062129321289
40,0,15,70,-0.1483062129321289
41,0,16,70,-0.1483062129321289
42,0,17,70,-0.1483062129321289
43,0,18,70,-0.1483062129321289
44,0,19,70,-0.1483062129321289
45,0,5,100,-0.10928343801833212
46,0,6,100,-0.10928343801833212
47,0,7,100,-0.10928343801833212
48,0,8,100,-0.10928343801833212
49,0,9,100,-0.10928343801833212
50,0,10,100,-0.10928343801833212
51,0,11,100,-0.1516835016835017
52,0,12,100,-0.1516835016835017
53,0,13,100,-0.1516835016835017
54,0,14,100,-0.1516835016835017
55,0,15,100,-0.1516835016835017
56,0,16,100,-0.1516835016835017
57,0,17,100,-0.1516835016835017
58,0,18,100,-0.1516835016835017
59,0,19,100,-0.1516835016835017
60,0,5,130,-0.1031031031031031
61,0,6,130,-0.1031031031031031
62,0,7,130,-0.1031031031031031
63,0,8,130,-0.1031031031031031
64,0,9,130,-0.1031031031031031
65,0,10,130,-0.1031031031031031
66,0,11,130,-0.1491865330152014
67,0,12,130,-0.1491865330152014
68,0,13,130,-0.1491865330152014
69,0,14,130,-0.1491865330152014
70,0,15,130,-0.1491865330152014
71,0,16,130,-0.1491865330152014
72,0,17,130,-0.1491865330152014
73,0,18,130,-0.1491865330152014
74,0,19,130,-0.1491865330152014
75,0,5,160,-0.15087040618955513
76,0,6,160,-0.15087040618955513
77,0,7,160,-0.15087040618955513
78,0,8,160,-0.15087040618955513
79,0,9,160,-0.15087040618955513
80,0,10,160,-0.15087040618955513
81,0,11,160,-0.16989069024809628
82,0,12,160,-0.16989069024809628
83,0,13,160,-0.16989069024809628
84,0,14,160,-0.16989069024809628
85,0,15,160,-0.16989069024809628
86,0,16,160,-0.16989069024809628
87,0,17,160,-0.16989069024809628
88,0,18,160,-0.16989069024809628
89,0,19,160,-0.16989069024809628
90,0,5,190,-0.1031031031031031
91,0,6,190,-0.1031031031031031
92,0,7,190,-0.1031031031031031
93,0,8,190,-0.1031031031031031
94,0,9,190,-0.1031031031031031
95,0,10,190,-0.1031031031031031
96,0,11,190,-0.1524257552483359
97,0,12,190,-0.1524257552483359
98,0,13,190,-0.1524257552483359
99,0,14,190,-0.1524257552483359
100,0,15,190,-0.1524257552483359
101,0,16,190,-0.1524257552483359
102,0,17,190,-0.1524257552483359
103,0,18,190,-0.1524257552483359
104,0,19,190,-0.1524257552483359
105,0,5,220,-0.15394588228055603
106,0,6,220,-0.15394588228055603
107,0,7,220,-0.15394588228055603
108,0,8,220,-0.15394588228055603
109,0,9,220,-0.15394588228055603
110,0,10,220,-0.15394588228055603
111,0,11,220,-0.1970209803639157
112,0,12,220,-0.1970209803639157
113,0,13,220,-0.1970209803639157
114,0,14,220,-0.1970209803639157
115,0,15,220,-0.1970209803639157
116,0,16,220,-0.1970209803639157
117,0,17,220,-0.1970209803639157
118,0,18,220,-0.1970209803639157
119,0,19,220,-0.1970209803639157
120,0,5,250,-0.15033783783783783
121,0,6,250,-0.15033783783783783
122,0,7,250,-0.15033783783783783
123,0,8,250,-0.15033783783783783
124,0,9,250,-0.15033783783783783
125,0,10,250,-0.15033783783783783
126,0,11,250,-0.16168875685557588
127,0,12,250,-0.16168875685557588
128,0,13,250,-0.16168875685557588
129,0,14,250,-0.16168875685557588
130,0,15,250,-0.16168875685557588
131,0,16,250,-0.16168875685557588
132,0,17,250,-0.16168875685557588
133,0,18,250,-0.16168875685557588
134,0,19,250,-0.16168875685557588
135,0,5,280,-0.13952322332567982
136,0,6,280,-0.13952322332567982
137,0,7,280,-0.13952322332567982
138,0,8,280,-0.13952322332567982
139,0,9,280,-0.13952322332567982
140,0,10,280,-0.13952322332567982
141,0,11,280,-0.16666666666666666
142,0,12,280,-0.16666666666666666
143,0,13,280,-0.16666666666666666
144,0,14,280,-0.16666666666666666
145,0,15,280,-0.16666666666666666
146,0,16,280,-0.16666666666666666
147,0,17,280,-0.16666666666666666
148,0,18,280,-0.16666666666666666
149,0,19,280,-0.16666666666666666
150,0,5,310,-0.14400805639476336
151,0,6,310,-0.14400805639476336
152,0,7,310,-0.14400805639476336
153,0,8,310,-0.14400805639476336
